Regio,GDPrank,PrometheeRank,RII
UKN0,68,149,
UKM9,165,193,
UKM8,26,116,
UKM7,16,70,
UKM6,149,107.5,
UKM5,109,20,
UKL2,43,103,
UKL1,69,191,
UKK4,53,162,
UKK3,174,187,
UKK2,93,146.5,
UKK1,9,78,
UKJ4,91,131,
UKJ3,18.5,83,
UKJ2,23,67,
UKJ1,8,21,
UKI7,31,36.5,
UKI6,60,121.5,
UKI5,67,176,
UKI4,17,11,
UKI3,13,1,
UKH3,89,137.5,
UKH2,33,68.5,
UKH1,34,107.5,
UKG3,38,125.5,
UKG2,94,165,
UKG1,86,95.5,
UKF3,132,182,
UKF2,42,109,
UKF1,49,149,
UKE4,57,127,
UKE3,59,178.5,
UKE2,56,121.5,
UKE1,159,164,
UKD7,61,153.5,
UKD6,95,39,
UKD4,119,135,
UKD3,25,113,
UKD1,146,124,
UKC2,65,139.5,
UKC1,118,180.5,
TRC3,283,304,
TRC2,296,306.5,
TRC1,271,292,
TRB2,303,308,
TRB1,290,298.5,
TRA2,309,305,
TRA1,288,294,
TR90,269,290.5,
TR83,297,293,
TR82,307,289,
TR81,308,287,
TR72,270,284.5,
TR71,264,288,
TR63,295,295.5,
TR62,281,284.5,
TR61,257,268,
TR52,302,283,
TR51,145,238.5,
TR42,273,242.5,
TR41,262,256.5,
TR33,301,282,
TR32,287,279,
TR31,224.5,255,
TR22,305,277,
TR21,293,258.5,
TR10,148,220,
SK04,229,253.5,
SK03,241,240.5,
SK02,231,228,
SK01,24,66,
SI04,45,168,
SI03,184,213,
SE33,121,31,120.0297963
SE32,152,50,93.66067108
SE31,144,57.5,95.02964667
SE23,35,23,145.3895117
SE22,58,48,143.4381167
SE21,107,47,116.8132704
SE12,27,45.5,138.0862976
SE11,6,6.5,161.0557371
RS22,265,309,52.98184798
RS21,299,306.5,51.24190729
RS12,258,298.5,65.15677406
RS11,77,265,68.66846767
RO42,280,258.5,34.34753781
RO41,260,286,14.97671952
RO32,88,191,54.08205602
RO31,292,281,19.2941751
RO22,306,279,23.13809182
RO21,284,295.5,22.51965195
RO12,251,266,28.58223423
RO11,221,271.5,31.06475904
PT30,266,205,73.74248098
PT20,276.5,214.5,66.50465344
PT18,230,209,73.94978013
PT17,15,172,99.09780594
PT16,111,216.5,95.9667537
PT15,234,199,77.58996245
PT11,92,219,97.07543766
PL92,247,256.5,49.23662251
PL91,12,155,82.41241656
PL84,185.5,269.5,45.38735536
PL82,210,273.5,61.02043459
PL81,172,275.5,48.35777081
PL72,239,269.5,48.31366568
PL71,112,251.5,54.90716072
PL63,98,247,60.36918952
PL62,217,271.5,38.70142446
PL61,212,263,48.21038323
PL52,189,264,43.1738211
PL51,108,232.5,59.7313437
PL43,253,260.5,42.93040761
PL42,194,260.5,45.11862789
PL41,134,234.5,55.51228514
PL22,79,238.5,53.79709174
PL21,63,253.5,73.42143055
NL42,130.5,54,123.7337243
NL41,37,33,135.1503437
NL34,227,87.5,90.41062965
NL33,14,38,127.1986283
NL32,5,12,128.7480593
NL31,29,14,141.1755381
NL23,202,98,109.7178358
NL22,46,71,124.3775156
NL21,80,76,114.5919301
NL13,228,128,100.3561143
NL12,188,125.5,87.74840557
NL11,71.5,45.5,118.6764368
MT00,96,177,
MK00,245,302,
LV00,78,231,
LU00,120,2,
LT02,192,240.5,68.4380018
LT01,52,194,90.49683057
ITI4,55,95.5,77.79938315
ITI3,167,151.5,85.02421628
ITI2,223,174,83.29288405
ITI1,116,114,82.81300113
ITH5,100,80,93.31695161
ITH4,182,111,96.98951105
ITH3,124,93,88.92473965
ITH2,190,73,85.99173528
ITH1,235,41,71.24925572
ITG2,215,197,53.46883397
ITG1,133,211,59.15521168
ITF6,213,212,53.55776087
ITF5,279,195,65.69774934
ITF4,203,203,64.06261979
ITF3,141,204,66.23388762
